Order_ID,Order_Date,Year,Month,City,Restaurant_Name,Category,Customer_ID,Quantity,Sales_Amount,Discount,Delivery_Fee,Cost_Amount,Profit,Payment_Mode,Order_Status
ZM100000,2022-05-10,2022,May,Hyderabad,BBQ Nation,Burger,C1000,3,1295,188,40,827,320,Cash,Cancelled
ZM100001,2020-05-10,2020,May,Mumbai,South Spice,Biryani,C1001,5,969,87,49,632,299,Card,Delivered
ZM100002,2026-04-19,2026,April,Mumbai,BBQ Nation,Rolls,C1002,4,674,58,61,412,265,Card,Delivered
ZM100003,2021-07-16,2021,July,Kolkata,South Spice,Biryani,C1003,4,1467,63,22,1195,231,Cash,Delivered
ZM100004,2021-08-23,2021,August,Mumbai,BBQ Nation,Chinese,C1004,4,2261,8,72,1487,838,Cash,Cancelled
ZM100005,2022-02-14,2022,February,Mumbai,Pizza Hub,Rolls,C1005,3,2453,80,55,1583,845,Card,Delivered
ZM100006,2023-02-03,2023,February,Chennai,Pizza Hub,Rolls,C1006,4,1700,190,37,1349,198,Card,Delivered
ZM100007,2022-03-26,2022,March,Delhi,Pizza Hub,BBQ,C1007,4,1216,189,59,986,100,UPI,Cancelled
ZM100008,2026-03-14,2026,March,Delhi,Biryani House,Biryani,C1008,4,2435,123,60,1641,731,Cash,Delivered
ZM100009,2023-09-29,2023,September,Bangalore,Burger Point,Burger,C1009,1,2227,135,82,1790,384,UPI,Delivered
ZM100010,2024-12-01,2024,December,Mumbai,Pizza Hub,Biryani,C1010,2,2478,40,47,2021,464,Cash,Delivered
ZM100011,2024-10-17,2024,October,Delhi,BBQ Nation,Rolls,C1011,5,2346,171,54,1684,545,Cash,Delivered
ZM100012,2022-10-25,2022,October,Kolkata,Pizza Hub,Pizza,C1012,2,702,141,46,512,95,UPI,Delivered
ZM100013,2022-05-13,2022,May,Kolkata,BBQ Nation,South Indian,C1013,1,763,95,23,630,61,Cash,Delivered
ZM100014,2021-06-24,2021,June,Mumbai,Pizza Hub,Pizza,C1014,4,1383,70,78,1070,321,UPI,Delivered
ZM100015,2022-03-06,2022,March,Chennai,BBQ Nation,Chinese,C1015,4,1843,43,49,1512,337,UPI,Delivered
ZM100016,2026-02-15,2026,February,Mumbai,South Spice,Biryani,C1016,1,1608,120,46,1136,398,Cash,Delivered
ZM100017,2021-12-10,2021,December,Chennai,Chinese Wok,BBQ,C1017,3,848,61,56,655,188,Cash,Delivered
ZM100018,2024-06-19,2024,June,Pune,BBQ Nation,Pizza,C1018,1,1336,61,77,1123,229,Cash,Delivered
ZM100019,2024-06-24,2024,June,Pune,BBQ Nation,South Indian,C1019,1,898,112,21,651,156,UPI,Delivered
ZM100020,2024-07-19,2024,July,Kolkata,Chinese Wok,BBQ,C1020,2,1276,171,51,941,215,Cash,Cancelled
ZM100021,2020-05-02,2020,May,Chennai,Roll Factory,Rolls,C1021,1,966,37,43,693,279,Cash,Delivered
ZM100022,2025-12-31,2025,December,Hyderabad,Chinese Wok,Chinese,C1022,1,1347,186,89,1042,208,Cash,Cancelled
ZM100023,2023-10-01,2023,October,Mumbai,Biryani House,Biryani,C1023,3,1734,146,39,1320,307,Cash,Delivered
ZM100024,2021-10-02,2021,October,Hyderabad,BBQ Nation,Chinese,C1024,3,2169,150,50,1777,292,Card,Cancelled
ZM100025,2022-10-13,2022,October,Mumbai,South Spice,South Indian,C1025,4,1080,1,20,673,426,Cash,Delivered
ZM100026,2025-08-18,2025,August,Pune,Biryani House,Chinese,C1026,1,1882,47,99,1551,383,Cash,Delivered
ZM100027,2023-12-14,2023,December,Pune,Pizza Hub,Pizza,C1027,4,453,111,44,272,114,Card,Delivered
ZM100028,2022-08-14,2022,August,Mumbai,BBQ Nation,Burger,C1028,1,360,67,52,260,85,UPI,Cancelled
ZM100029,2021-04-04,2021,April,Pune,Roll Factory,South Indian,C1029,3,669,118,41,442,150,Cash,Delivered
ZM100030,2024-12-04,2024,December,Kolkata,Biryani House,South Indian,C1030,3,2274,20,49,1731,572,UPI,Cancelled
ZM100031,2021-10-20,2021,October,Mumbai,Chinese Wok,Rolls,C1031,4,746,191,68,455,168,UPI,Delivered
ZM100032,2025-11-16,2025,November,Pune,South Spice,BBQ,C1032,4,1968,36,43,1343,632,Cash,Cancelled
ZM100033,2022-09-19,2022,September,Chennai,Biryani House,Pizza,C1033,4,390,159,52,264,19,Cash,Delivered
ZM100034,2021-07-23,2021,July,Kolkata,Roll Factory,BBQ,C1034,3,2095,173,43,1366,599,Card,Delivered
ZM100035,2020-06-03,2020,June,Pune,BBQ Nation,South Indian,C1035,2,1609,16,52,1020,625,Card,Delivered
ZM100036,2021-06-21,2021,June,Chennai,BBQ Nation,Biryani,C1036,3,2041,152,43,1690,242,UPI,Cancelled
ZM100037,2021-02-03,2021,February,Kolkata,Roll Factory,Burger,C1037,4,2106,142,85,1494,555,UPI,Delivered
ZM100038,2021-07-28,2021,July,Mumbai,Pizza Hub,Rolls,C1038,5,2397,57,77,1456,961,Cash,Delivered
ZM100039,2026-04-30,2026,April,Pune,South Spice,Chinese,C1039,5,1795,107,24,1282,430,Card,Delivered
ZM100040,2020-09-25,2020,September,Kolkata,Burger Point,Chinese,C1040,2,835,105,49,509,270,Card,Delivered
ZM100041,2023-10-01,2023,October,Mumbai,South Spice,Biryani,C1041,5,316,61,42,223,74,Card,Delivered
ZM100042,2021-05-27,2021,May,Delhi,South Spice,Biryani,C1042,2,1319,125,67,851,410,UPI,Delivered
ZM100043,2021-12-04,2021,December,Hyderabad,South Spice,Rolls,C1043,5,2494,194,95,1849,546,UPI,Delivered
ZM100044,2023-05-28,2023,May,Mumbai,Pizza Hub,Pizza,C1044,5,1208,93,81,937,259,UPI,Delivered
ZM100045,2024-06-23,2024,June,Pune,South Spice,Chinese,C1045,1,1957,100,42,1197,702,Card,Cancelled
ZM100046,2024-06-19,2024,June,Kolkata,Pizza Hub,Biryani,C1046,1,1215,68,23,916,254,Cash,Cancelled
ZM100047,2024-08-14,2024,August,Delhi,Chinese Wok,Burger,C1047,4,1768,160,80,1301,387,UPI,Delivered
ZM100048,2023-04-06,2023,April,Kolkata,Roll Factory,Pizza,C1048,2,1266,43,48,781,490,UPI,Delivered
ZM100049,2022-01-23,2022,January,Pune,Pizza Hub,Burger,C1049,3,289,7,45,222,105,UPI,Delivered
ZM100050,2022-04-05,2022,April,Bangalore,South Spice,South Indian,C1050,5,1849,74,48,1127,696,UPI,Cancelled
ZM100051,2025-03-07,2025,March,Kolkata,BBQ Nation,Rolls,C1051,1,2439,176,55,1690,628,UPI,Cancelled
ZM100052,2024-03-28,2024,March,Mumbai,Biryani House,Rolls,C1052,1,1072,29,36,786,293,UPI,Delivered
ZM100053,2026-02-02,2026,February,Kolkata,Chinese Wok,Rolls,C1053,4,595,188,38,370,75,Cash,Cancelled
ZM100054,2022-04-30,2022,April,Bangalore,Chinese Wok,Burger,C1054,2,1590,143,88,1070,465,UPI,Cancelled
ZM100055,2023-03-13,2023,March,Kolkata,Roll Factory,BBQ,C1055,1,1262,108,72,913,313,Card,Delivered
ZM100056,2023-05-23,2023,May,Bangalore,Pizza Hub,Pizza,C1056,5,434,74,37,365,32,UPI,Delivered
ZM100057,2024-03-22,2024,March,Chennai,Pizza Hub,South Indian,C1057,5,1391,169,28,1120,130,UPI,Delivered
ZM100058,2023-12-16,2023,December,Bangalore,BBQ Nation,BBQ,C1058,3,1719,108,84,1409,286,UPI,Delivered
ZM100059,2023-03-01,2023,March,Chennai,Pizza Hub,Burger,C1059,4,2010,188,73,1560,335,Cash,Delivered
ZM100060,2020-06-21,2020,June,Delhi,BBQ Nation,Biryani,C1060,5,953,125,77,748,157,Cash,Delivered
ZM100061,2025-06-19,2025,June,Pune,South Spice,Rolls,C1061,4,389,190,44,317,-74,Card,Cancelled
ZM100062,2021-11-15,2021,November,Delhi,Burger Point,Chinese,C1062,5,2052,46,40,1253,793,UPI,Cancelled
ZM100063,2023-06-04,2023,June,Bangalore,Roll Factory,BBQ,C1063,3,1755,184,37,1125,483,Cash,Delivered
ZM100064,2023-10-28,2023,October,Pune,Chinese Wok,Chinese,C1064,3,670,184,94,449,131,UPI,Cancelled
ZM100065,2023-02-19,2023,February,Mumbai,Chinese Wok,South Indian,C1065,4,289,135,77,189,42,UPI,Cancelled
ZM100066,2025-04-30,2025,April,Delhi,South Spice,Rolls,C1066,1,1424,160,96,1098,262,Cash,Delivered
ZM100067,2021-01-24,2021,January,Chennai,Roll Factory,Pizza,C1067,2,455,196,66,377,-52,Cash,Delivered
ZM100068,2022-10-25,2022,October,Bangalore,Burger Point,South Indian,C1068,1,573,64,37,485,61,Card,Delivered
ZM100069,2023-05-25,2023,May,Kolkata,Roll Factory,Chinese,C1069,3,888,160,20,535,213,UPI,Delivered
ZM100070,2024-07-26,2024,July,Chennai,Burger Point,Biryani,C1070,3,1660,22,72,1388,322,UPI,Delivered
ZM100071,2025-03-16,2025,March,Bangalore,Biryani House,Pizza,C1071,1,250,172,96,162,12,Cash,Cancelled
ZM100072,2024-04-23,2024,April,Hyderabad,Pizza Hub,Chinese,C1072,2,449,161,73,356,5,UPI,Delivered
ZM100073,2020-08-23,2020,August,Kolkata,BBQ Nation,BBQ,C1073,5,962,56,36,609,333,UPI,Delivered
ZM100074,2021-07-31,2021,July,Chennai,Roll Factory,Pizza,C1074,3,634,102,57,478,111,Card,Delivered
ZM100075,2023-09-20,2023,September,Kolkata,Chinese Wok,Rolls,C1075,3,646,51,57,460,192,Cash,Delivered
ZM100076,2025-10-29,2025,October,Chennai,Biryani House,Chinese,C1076,5,996,131,29,828,66,UPI,Delivered
ZM100077,2025-10-01,2025,October,Hyderabad,BBQ Nation,Biryani,C1077,2,404,125,62,266,75,Cash,Delivered
ZM100078,2025-11-12,2025,November,Bangalore,Burger Point,Burger,C1078,3,2135,7,23,1378,773,Cash,Delivered
ZM100079,2021-11-02,2021,November,Delhi,Pizza Hub,Chinese,C1079,2,260,121,70,158,51,Card,Delivered
ZM100080,2023-11-29,2023,November,Pune,Pizza Hub,South Indian,C1080,1,2480,11,65,1713,821,Cash,Delivered
ZM100081,2026-04-15,2026,April,Bangalore,Pizza Hub,Chinese,C1081,1,2461,55,82,1708,780,UPI,Cancelled
ZM100082,2021-09-16,2021,September,Pune,Roll Factory,Pizza,C1082,3,1476,179,98,1083,312,Cash,Delivered
ZM100083,2020-12-30,2020,December,Hyderabad,BBQ Nation,BBQ,C1083,2,725,186,75,459,155,Card,Delivered
ZM100084,2024-11-09,2024,November,Delhi,Chinese Wok,Pizza,C1084,4,2106,14,83,1405,770,Cash,Delivered
ZM100085,2023-07-20,2023,July,Mumbai,Biryani House,Chinese,C1085,2,325,43,44,267,59,Card,Delivered
ZM100086,2020-08-20,2020,August,Bangalore,Chinese Wok,Burger,C1086,5,1369,110,53,1012,300,Card,Delivered
ZM100087,2024-03-21,2024,March,Delhi,Roll Factory,South Indian,C1087,4,1505,63,78,1036,484,UPI,Delivered
ZM100088,2023-12-31,2023,December,Pune,Roll Factory,Rolls,C1088,5,1933,69,23,1570,317,Cash,Cancelled
ZM100089,2023-03-06,2023,March,Kolkata,Roll Factory,Pizza,C1089,3,442,30,59,342,129,Cash,Cancelled
ZM100090,2025-02-13,2025,February,Kolkata,Burger Point,Pizza,C1090,1,1829,178,81,1522,210,Cash,Delivered
ZM100091,2024-07-26,2024,July,Mumbai,Biryani House,Chinese,C1091,2,1341,67,38,871,441,Cash,Delivered
ZM100092,2025-11-07,2025,November,Bangalore,Roll Factory,Pizza,C1092,5,2117,138,96,1552,523,Card,Delivered
ZM100093,2025-04-26,2025,April,Mumbai,Biryani House,BBQ,C1093,2,2419,129,32,1865,457,UPI,Delivered
ZM100094,2025-06-17,2025,June,Mumbai,Pizza Hub,Rolls,C1094,3,1318,48,88,1064,294,UPI,Cancelled
ZM100095,2023-03-06,2023,March,Mumbai,South Spice,Burger,C1095,2,1770,0,59,1381,448,UPI,Delivered
ZM100096,2026-05-06,2026,May,Pune,Pizza Hub,Rolls,C1096,4,1514,164,24,997,377,UPI,Delivered
ZM100097,2022-12-01,2022,December,Delhi,Roll Factory,Biryani,C1097,1,2063,38,33,1701,357,Cash,Delivered
ZM100098,2025-12-30,2025,December,Hyderabad,BBQ Nation,Burger,C1098,1,2392,193,97,1475,821,Card,Delivered
ZM100099,2023-04-17,2023,April,Pune,BBQ Nation,Burger,C1099,2,1671,14,48,1209,496,UPI,Delivered
ZM100100,2023-01-25,2023,January,Chennai,South Spice,Burger,C1100,5,1150,32,87,853,352,Card,Delivered
ZM100101,2023-02-15,2023,February,Delhi,South Spice,South Indian,C1101,5,1014,108,71,709,268,Cash,Cancelled
ZM100102,2020-05-09,2020,May,Hyderabad,Burger Point,South Indian,C1102,3,294,114,55,216,19,Cash,Delivered
ZM100103,2025-02-08,2025,February,Chennai,Biryani House,Biryani,C1103,2,562,139,32,356,99,Cash,Cancelled
ZM100104,2022-04-07,2022,April,Kolkata,Pizza Hub,Biryani,C1104,3,555,67,24,460,52,Cash,Delivered
ZM100105,2025-04-12,2025,April,Chennai,Roll Factory,Chinese,C1105,3,1630,0,65,1074,621,Card,Delivered
ZM100106,2025-01-28,2025,January,Delhi,Biryani House,Pizza,C1106,3,1135,142,40,788,245,UPI,Delivered
